unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,sat_lag,
mon230819,2023-08-19T04:18:04,  0.000,  0.100,1,1,0, 24.438, 14.537, -0.031,-15.000, 14.700, 13.798,  0.000, 14.596, 14.585,  0.002,  1.000,  0.999,  1.000,1.00000,
mon230819,2023-08-19T04:18:09,  5.000,  0.100,1,1,0, 24.438, 14.524, -0.031,-15.000, 14.700, 13.798,  0.000, 14.584, 14.585, -0.002,  1.000,  0.999,  1.000,1.00000,
mon230819,2023-08-19T04:18:14,  9.999,  0.100,1,1,0, 24.438, 14.515, -0.066,-15.000, 14.700, 13.798, -0.000, 14.576, 14.581,  0.008,  1.000,  0.999,  1.000,1.00000,
mon230819,2023-08-19T04:18:19, 14.999,  0.101,1,1,0, 24.438, 14.515, -0.066,-15.000, 14.700, 13.798, -0.001, 14.576, 14.585, -0.001,  1.000,  0.999,  1.000,1.00000,
mon230819,2023-08-19T04:18:24, 20.000,  0.100,1,1,0, 24.438, 14.511, -0.066,-15.000, 14.700, 13.798, -0.001, 14.572, 14.580, -0.000,  1.000,  0.999,  1.000,1.00000,
mon230819,2023-08-19T04:18:29, 25.000,  0.100,1,1,0, 24.438, 14.524, -0.066,-15.000, 14.700, 13.798, -0.001, 14.585, 14.574, -0.002,  1.000,  0.999,  1.000,1.00000,
mon230819,2023-08-19T04:18:34, 30.000,  0.100,1,1,0, 24.438, 14.524, -0.066,-15.000, 14.700, 13.798, -0.001, 14.585, 14.578, -0.010,  1.000,  0.999,  1.000,1.00000,
mon230819,2023-08-19T04:18:39, 34.999,  0.100,1,1,0, 24.438, 14.511, -0.066,-15.000, 14.699, 13.798, -0.001, 14.572, 14.575, -0.012,  1.000,  0.999,  1.000,1.00000,
mon230819,2023-08-19T04:18:44, 39.999,  0.100,1,1,0, 24.438, 14.494, -0.066,-15.000, 14.699, 13.798, -0.001, 14.555, 14.566, -0.002,  1.000,  0.999,  1.000,1.00000,
mon230819,2023-08-19T04:18:49, 44.999,  0.100,1,1,0, 24.438, 14.498, -0.066,-15.000, 14.699, 13.798, -0.001, 14.559, 14.562,  0.010,  1.000,  0.999,  1.000,1.00000,
