unit,               hm,                  cTime,        dt,       sat,sel,mod,      Tb,  vb,  ib,  ioc,  voc_soc,    vsat,dv_dyn,voc_stat,voc_ekf,     y_ekf,    soc_s,soc_ekf,soc,ib_lag,
mon_rep230821,2023-08-21T14:49:01,  0.000,  4.999,0,0,0, 25.307, 13.249, -0.935, -0.095, 13.318, 13.801, -0.018, 13.305, 13.309, -0.004,  0.980,  0.974,  0.980,-0.93500,
mon_rep230821,2023-08-21T14:49:06,  4.999,  4.999,0,0,0, 25.307, 13.258, -0.935, -0.095, 13.318, 13.801, -0.018, 13.314, 13.309,  0.005,  0.980,  0.974,  0.980,-0.93500,
mon_rep230821,2023-08-21T14:49:11,  9.999,  5.000,0,0,0, 25.307, 13.262, -0.935, -0.095, 13.317, 13.801, -0.018, 13.318, 13.309,  0.009,  0.980,  0.974,  0.980,-0.93500,
mon_rep230821,2023-08-21T14:49:16, 14.999,  5.000,0,0,0, 25.307, 13.254, -0.935, -0.095, 13.317, 13.801, -0.018, 13.310, 13.309,  0.001,  0.980,  0.974,  0.980,-0.93500,
mon_rep230821,2023-08-21T14:49:21, 20.000,  5.001,0,0,0, 25.307, 13.258, -0.970, -0.095, 13.317, 13.801, -0.019, 13.315, 13.309,  0.005,  0.980,  0.974,  0.980,-0.93505,
mon_rep230821,2023-08-21T14:49:26, 25.000,  5.000,0,0,0, 25.307, 13.245, -1.005, -0.095, 13.317, 13.801, -0.019, 13.302, 13.309, -0.007,  0.980,  0.974,  0.980,-0.93519,
mon_rep230821,2023-08-21T14:49:31, 30.000,  5.000,0,0,0, 25.307, 13.254, -1.109, -0.095, 13.317, 13.801, -0.021, 13.313, 13.309,  0.004,  0.980,  0.974,  0.980,-0.93551,
mon_rep230821,2023-08-21T14:49:36, 35.000,  5.000,0,0,0, 25.307, 13.267, -0.935, -0.095, 13.316, 13.801, -0.019, 13.323, 13.309,  0.014,  0.980,  0.974,  0.980,-0.93574,
mon_rep230821,2023-08-21T14:49:41, 40.000,  5.000,0,0,0, 25.307, 13.258, -0.935, -0.095, 13.316, 13.801, -0.019, 13.314, 13.309,  0.005,  0.980,  0.974,  0.980,-0.93574,
mon_rep230821,2023-08-21T14:49:46, 45.000,  5.000,0,0,0, 25.307, 13.258, -1.144, -0.095, 13.316, 13.801, -0.022, 13.317, 13.309,  0.008,  0.980,  0.974,  0.980,-0.93602,
mon_rep230821,2023-08-21T14:49:51, 49.999,  4.999,0,0,0, 25.307, 13.254, -0.970, -0.095, 13.316, 13.801, -0.019, 13.311, 13.309,  0.002,  0.980,  0.974,  0.980,-0.93634,
mon_rep230821,2023-08-21T14:49:56, 54.999,  5.000,0,0,0, 25.307, 13.254, -0.866, -0.095, 13.315, 13.801, -0.018, 13.310, 13.309,  0.000,  0.980,  0.974,  0.980,-0.93629,
mon_rep230821,2023-08-21T14:50:01, 59.999,  5.000,0,0,0, 25.307, 13.262, -0.935, -0.095, 13.315, 13.801, -0.019, 13.318, 13.309,  0.009,  0.980,  0.974,  0.980,-0.93619,
mon_rep230821,2023-08-21T14:50:06, 64.999,  5.000,0,0,0, 25.307, 13.262, -1.144, -0.095, 13.315, 13.801, -0.022, 13.321, 13.309,  0.012,  0.980,  0.974,  0.980,-0.93647,
mon_rep230821,2023-08-21T14:50:11, 69.999,  5.000,0,0,0, 25.307, 13.254, -0.866, -0.095, 13.315, 13.801, -0.018, 13.310, 13.309,  0.000,  0.980,  0.974,  0.980,-0.93665,
mon_rep230821,2023-08-21T14:50:16, 74.999,  5.000,0,0,0, 25.307, 13.258, -0.970, -0.095, 13.315, 13.801, -0.019, 13.315, 13.309,  0.006,  0.980,  0.974,  0.980,-0.93660,
mon_rep230821,2023-08-21T14:50:21, 79.999,  5.000,0,0,0, 25.307, 13.249, -0.935, -0.095, 13.314, 13.801, -0.019, 13.305, 13.309, -0.004,  0.980,  0.974,  0.980,-0.93664,
mon_rep230821,2023-08-21T14:50:26, 84.999,  5.000,0,0,0, 25.307, 13.254, -0.866, -0.095, 13.314, 13.801, -0.018, 13.309, 13.309,  0.000,  0.980,  0.974,  0.980,-0.93655,
mon_rep230821,2023-08-21T14:50:31, 89.999,  5.000,0,0,0, 25.307, 13.258, -0.970, -0.095, 13.314, 13.801, -0.019, 13.315, 13.309,  0.006,  0.980,  0.974,  0.980,-0.93650,
mon_rep230821,2023-08-21T14:50:36, 94.999,  5.000,0,0,0, 25.307, 13.267, -0.970, -0.095, 13.314, 13.801, -0.019, 13.324, 13.309,  0.015,  0.980,  0.974,  0.980,-0.93659,
mon_rep230821,2023-08-21T14:50:41, 99.999,  5.000,0,0,0, 25.307, 13.249, -1.005, -0.095, 13.314, 13.801, -0.019, 13.306, 13.309, -0.003,  0.980,  0.974,  0.980,-0.93672,
mon_rep230821,2023-08-21T14:50:46,105.000,  5.001,0,0,0, 25.307, 13.254, -1.179, -0.095, 13.313, 13.801, -0.022, 13.314, 13.309,  0.005,  0.980,  0.974,  0.980,-0.93714,
mon_rep230821,2023-08-21T14:50:51,109.999,  4.999,0,0,0, 25.307, 13.245, -1.214, -0.095, 13.313, 13.801, -0.023, 13.306, 13.309, -0.004,  0.980,  0.974,  0.980,-0.93783,
mon_rep230821,2023-08-21T14:50:56,114.999,  5.000,0,0,0, 25.307, 13.267, -0.970, -0.095, 13.313, 13.801, -0.019, 13.324, 13.309,  0.015,  0.980,  0.974,  0.980,-0.93824,
mon_rep230821,2023-08-21T14:51:01,120.000,  5.001,0,0,0, 25.307, 13.254, -1.005, -0.095, 13.313, 13.801, -0.020, 13.312, 13.309,  0.003,  0.980,  0.974,  0.980,-0.93837,
mon_rep230821,2023-08-21T14:51:06,124.999,  4.999,0,0,0, 25.307, 13.254, -1.179, -0.095, 13.312, 13.801, -0.022, 13.314, 13.309,  0.005,  0.980,  0.974,  0.980,-0.93878,
mon_rep230821,2023-08-21T14:51:11,129.999,  5.000,0,0,0, 25.307, 13.258, -0.901, -0.095, 13.312, 13.801, -0.019, 13.314, 13.309,  0.005,  0.980,  0.974,  0.980,-0.93905,
mon_rep230821,2023-08-21T14:51:16,134.999,  5.000,0,0,0, 25.307, 13.249, -0.970, -0.095, 13.312, 13.801, -0.019, 13.306, 13.309, -0.003,  0.980,  0.974,  0.980,-0.93904,
mon_rep230821,2023-08-21T14:51:21,139.999,  5.000,0,0,0, 25.307, 13.258, -1.005, -0.095, 13.312, 13.801, -0.020, 13.316, 13.309,  0.007,  0.980,  0.974,  0.980,-0.93917,
